image_ids_current,image_ids_previous,label_ids_extended,weight,percentages
Images_Shadows/Scene0086_View01_crop27_moving.png,Images_Shadows/Scene0086_View01_crop27_target.png,8,0,0
Images_Shadows/Scene0015_View04_crop46_moving.png,Images_Shadows/Scene0015_View04_crop46_target.png,8,0,0
Images_Shadows/Scene0061_View01_crop3_moving.png,Images_Shadows/Scene0061_View01_crop3_target.png,8,0,0
Images_Shadows/Scene0098_View02_crop24_moving.png,Images_Shadows/Scene0098_View02_crop24_target.png,8,0,0
Images_Shadows/Scene0057_View01_crop47_moving.png,Images_Shadows/Scene0057_View01_crop47_target.png,8,0,0
Images_Shadows/Scene0091_View04_crop17_moving.png,Images_Shadows/Scene0091_View04_crop17_target.png,8,0,0
Images_Shadows/Scene0003_View03_crop5_moving.png,Images_Shadows/Scene0003_View03_crop5_target.png,8,0,0
Images_Shadows/Scene0031_View03_crop37_moving.png,Images_Shadows/Scene0031_View03_crop37_target.png,8,0,0
Images_Shadows/Scene0080_View03_crop46_moving.png,Images_Shadows/Scene0080_View03_crop46_target.png,8,0,0
Images_Shadows/Scene0062_View00_crop42_moving.png,Images_Shadows/Scene0062_View00_crop42_target.png,8,0,0
Images_Shadows/Scene0067_View03_crop15_moving.png,Images_Shadows/Scene0067_View03_crop15_target.png,8,0,0
Images_Shadows/Scene0091_View00_crop6_moving.png,Images_Shadows/Scene0091_View00_crop6_target.png,8,0,0
Images_Shadows/Scene0063_View02_crop0_moving.png,Images_Shadows/Scene0063_View02_crop0_target.png,8,0,0
Images_Shadows/Scene0071_View02_crop37_moving.png,Images_Shadows/Scene0071_View02_crop37_target.png,8,0,0
Images_Shadows/Scene0026_View02_crop21_moving.png,Images_Shadows/Scene0026_View02_crop21_target.png,8,0,0
Images_Shadows/Scene0012_View03_crop22_moving.png,Images_Shadows/Scene0012_View03_crop22_target.png,4,0,0
Images_Shadows/Scene0067_View00_crop29_moving.png,Images_Shadows/Scene0067_View00_crop29_target.png,6,0,0
Images_Shadows/Scene0069_View00_crop44_moving.png,Images_Shadows/Scene0069_View00_crop44_target.png,8,0,0
Images_Shadows/Scene0085_View00_crop15_moving.png,Images_Shadows/Scene0085_View00_crop15_target.png,8,0,0
Images_Shadows/Scene0022_View01_crop14_moving.png,Images_Shadows/Scene0022_View01_crop14_target.png,8,0,0
Images_Shadows/Scene0053_View00_crop25_moving.png,Images_Shadows/Scene0053_View00_crop25_target.png,8,0,0
Images_Shadows/Scene0091_View01_crop15_moving.png,Images_Shadows/Scene0091_View01_crop15_target.png,8,0,0
Images_Shadows/Scene0044_View02_crop6_moving.png,Images_Shadows/Scene0044_View02_crop6_target.png,8,0,0
Images_Shadows/Scene0054_View01_crop2_moving.png,Images_Shadows/Scene0054_View01_crop2_target.png,8,0,0
Images_Shadows/Scene0052_View00_crop12_moving.png,Images_Shadows/Scene0052_View00_crop12_target.png,8,0,0
Images_Shadows/Scene0034_View00_crop10_moving.png,Images_Shadows/Scene0034_View00_crop10_target.png,8,0,0
Images_Shadows/Scene0019_View01_crop21_moving.png,Images_Shadows/Scene0019_View01_crop21_target.png,8,0,0
Images_Shadows/Scene0073_View02_crop40_moving.png,Images_Shadows/Scene0073_View02_crop40_target.png,8,0,0
Images_Shadows/Scene0085_View02_crop29_moving.png,Images_Shadows/Scene0085_View02_crop29_target.png,8,0,0
Images_Shadows/Scene0069_View04_crop41_moving.png,Images_Shadows/Scene0069_View04_crop41_target.png,8,0,0
Images_Shadows/Scene0031_View00_crop17_moving.png,Images_Shadows/Scene0031_View00_crop17_target.png,8,0,0
Images_Shadows/Scene0062_View03_crop41_moving.png,Images_Shadows/Scene0062_View03_crop41_target.png,8,0,0
Images_Shadows/Scene0058_View04_crop26_moving.png,Images_Shadows/Scene0058_View04_crop26_target.png,8,0,0
Images_Shadows/Scene0061_View04_crop23_moving.png,Images_Shadows/Scene0061_View04_crop23_target.png,8,0,0
Images_Shadows/Scene0028_View01_crop41_moving.png,Images_Shadows/Scene0028_View01_crop41_target.png,8,0,0
Images_Shadows/Scene0056_View04_crop18_moving.png,Images_Shadows/Scene0056_View04_crop18_target.png,1,0,0
Images_Shadows/Scene0028_View01_crop37_moving.png,Images_Shadows/Scene0028_View01_crop37_target.png,8,0,0
Images_Shadows/Scene0031_View00_crop15_moving.png,Images_Shadows/Scene0031_View00_crop15_target.png,8,0,0
Images_Shadows/Scene0063_View02_crop21_moving.png,Images_Shadows/Scene0063_View02_crop21_target.png,8,0,0
Images_Shadows/Scene0071_View00_crop35_moving.png,Images_Shadows/Scene0071_View00_crop35_target.png,8,0,0
Images_Shadows/Scene0046_View00_crop35_moving.png,Images_Shadows/Scene0046_View00_crop35_target.png,8,0,0
Images_Shadows/Scene0053_View01_crop15_moving.png,Images_Shadows/Scene0053_View01_crop15_target.png,8,0,0
Images_Shadows/Scene0061_View04_crop43_moving.png,Images_Shadows/Scene0061_View04_crop43_target.png,8,0,0
Images_Shadows/Scene0051_View02_crop2_moving.png,Images_Shadows/Scene0051_View02_crop2_target.png,8,0,0
Images_Shadows/Scene0067_View03_crop46_moving.png,Images_Shadows/Scene0067_View03_crop46_target.png,8,0,0
Images_Shadows/Scene0070_View04_crop16_moving.png,Images_Shadows/Scene0070_View04_crop16_target.png,8,0,0
Images_Shadows/Scene0020_View04_crop24_moving.png,Images_Shadows/Scene0020_View04_crop24_target.png,8,0,0
Images_Shadows/Scene0020_View03_crop3_moving.png,Images_Shadows/Scene0020_View03_crop3_target.png,8,0,0
Images_Shadows/Scene0091_View04_crop22_moving.png,Images_Shadows/Scene0091_View04_crop22_target.png,8,0,0
Images_Shadows/Scene0041_View03_crop5_moving.png,Images_Shadows/Scene0041_View03_crop5_target.png,8,0,0
Images_Shadows/Scene0041_View03_crop37_moving.png,Images_Shadows/Scene0041_View03_crop37_target.png,8,0,0
Images_Shadows/Scene0074_View02_crop17_moving.png,Images_Shadows/Scene0074_View02_crop17_target.png,8,0,0
Images_Shadows/Scene0036_View03_crop26_moving.png,Images_Shadows/Scene0036_View03_crop26_target.png,8,0,0
Images_Shadows/Scene0014_View01_crop25_moving.png,Images_Shadows/Scene0014_View01_crop25_target.png,8,0,0
Images_Shadows/Scene0018_View04_crop8_moving.png,Images_Shadows/Scene0018_View04_crop8_target.png,8,0,0
Images_Shadows/Scene0025_View04_crop32_moving.png,Images_Shadows/Scene0025_View04_crop32_target.png,8,0,0
Images_Shadows/Scene0096_View01_crop22_moving.png,Images_Shadows/Scene0096_View01_crop22_target.png,8,0,0
Images_Shadows/Scene0075_View00_crop46_moving.png,Images_Shadows/Scene0075_View00_crop46_target.png,8,0,0
Images_Shadows/Scene0017_View04_crop41_moving.png,Images_Shadows/Scene0017_View04_crop41_target.png,8,0,0
Images_Shadows/Scene0062_View02_crop39_moving.png,Images_Shadows/Scene0062_View02_crop39_target.png,8,0,0
Images_Shadows/Scene0056_View03_crop38_moving.png,Images_Shadows/Scene0056_View03_crop38_target.png,8,0,0
Images_Shadows/Scene0065_View02_crop3_moving.png,Images_Shadows/Scene0065_View02_crop3_target.png,8,0,0
Images_Shadows/Scene0070_View03_crop29_moving.png,Images_Shadows/Scene0070_View03_crop29_target.png,8,0,0
Images_Shadows/Scene0038_View01_crop34_moving.png,Images_Shadows/Scene0038_View01_crop34_target.png,6,0,0
Images_Shadows/Scene0026_View02_crop33_moving.png,Images_Shadows/Scene0026_View02_crop33_target.png,8,0,0
Images_Shadows/Scene0030_View00_crop43_moving.png,Images_Shadows/Scene0030_View00_crop43_target.png,8,0,0
Images_Shadows/Scene0070_View00_crop12_moving.png,Images_Shadows/Scene0070_View00_crop12_target.png,8,0,0
Images_Shadows/Scene0076_View01_crop12_moving.png,Images_Shadows/Scene0076_View01_crop12_target.png,8,0,0
Images_Shadows/Scene0092_View02_crop42_moving.png,Images_Shadows/Scene0092_View02_crop42_target.png,8,0,0
Images_Shadows/Scene0018_View00_crop22_moving.png,Images_Shadows/Scene0018_View00_crop22_target.png,8,0,0
Images_Shadows/Scene0087_View02_crop38_moving.png,Images_Shadows/Scene0087_View02_crop38_target.png,8,0,0
Images_Shadows/Scene0053_View01_crop46_moving.png,Images_Shadows/Scene0053_View01_crop46_target.png,8,0,0
Images_Shadows/Scene0079_View00_crop0_moving.png,Images_Shadows/Scene0079_View00_crop0_target.png,8,0,0
Images_Shadows/Scene0080_View04_crop3_moving.png,Images_Shadows/Scene0080_View04_crop3_target.png,8,0,0
Images_Shadows/Scene0065_View04_crop40_moving.png,Images_Shadows/Scene0065_View04_crop40_target.png,8,0,0
Images_Shadows/Scene0048_View03_crop41_moving.png,Images_Shadows/Scene0048_View03_crop41_target.png,8,0,0
Images_Shadows/Scene0036_View03_crop6_moving.png,Images_Shadows/Scene0036_View03_crop6_target.png,8,0,0
Images_Shadows/Scene0018_View02_crop18_moving.png,Images_Shadows/Scene0018_View02_crop18_target.png,8,0,0
Images_Shadows/Scene0077_View03_crop17_moving.png,Images_Shadows/Scene0077_View03_crop17_target.png,8,0,0
Images_Shadows/Scene0095_View04_crop42_moving.png,Images_Shadows/Scene0095_View04_crop42_target.png,8,0,0
Images_Shadows/Scene0004_View02_crop38_moving.png,Images_Shadows/Scene0004_View02_crop38_target.png,8,0,0
Images_Shadows/Scene0037_View02_crop45_moving.png,Images_Shadows/Scene0037_View02_crop45_target.png,8,0,0
Images_Shadows/Scene0032_View03_crop37_moving.png,Images_Shadows/Scene0032_View03_crop37_target.png,8,0,0
Images_Shadows/Scene0085_View04_crop1_moving.png,Images_Shadows/Scene0085_View04_crop1_target.png,8,0,0
Images_Shadows/Scene0017_View02_crop40_moving.png,Images_Shadows/Scene0017_View02_crop40_target.png,8,0,0
Images_Shadows/Scene0003_View00_crop37_moving.png,Images_Shadows/Scene0003_View00_crop37_target.png,8,0,0
Images_Shadows/Scene0019_View02_crop36_moving.png,Images_Shadows/Scene0019_View02_crop36_target.png,8,0,0
Images_Shadows/Scene0021_View00_crop2_moving.png,Images_Shadows/Scene0021_View00_crop2_target.png,8,0,0
Images_Shadows/Scene0095_View04_crop46_moving.png,Images_Shadows/Scene0095_View04_crop46_target.png,8,0,0
Images_Shadows/Scene0013_View03_crop37_moving.png,Images_Shadows/Scene0013_View03_crop37_target.png,8,0,0
Images_Shadows/Scene0045_View04_crop30_moving.png,Images_Shadows/Scene0045_View04_crop30_target.png,8,0,0
Images_Shadows/Scene0091_View01_crop20_moving.png,Images_Shadows/Scene0091_View01_crop20_target.png,8,0,0
Images_Shadows/Scene0083_View02_crop32_moving.png,Images_Shadows/Scene0083_View02_crop32_target.png,8,0,0
Images_Shadows/Scene0061_View00_crop13_moving.png,Images_Shadows/Scene0061_View00_crop13_target.png,8,0,0
Images_Shadows/Scene0046_View00_crop21_moving.png,Images_Shadows/Scene0046_View00_crop21_target.png,8,0,0
Images_Shadows/Scene0076_View01_crop0_moving.png,Images_Shadows/Scene0076_View01_crop0_target.png,8,0,0
Images_Shadows/Scene0001_View02_crop6_moving.png,Images_Shadows/Scene0001_View02_crop6_target.png,8,0,0
Images_Shadows/Scene0045_View04_crop5_moving.png,Images_Shadows/Scene0045_View04_crop5_target.png,8,0,0
Images_Shadows/Scene0085_View00_crop32_moving.png,Images_Shadows/Scene0085_View00_crop32_target.png,8,0,0
Images_Shadows/Scene0011_View03_crop32_moving.png,Images_Shadows/Scene0011_View03_crop32_target.png,8,0,0
Images_Shadows/Scene0045_View04_crop42_moving.png,Images_Shadows/Scene0045_View04_crop42_target.png,8,0,0
Images_Shadows/Scene0066_View03_crop47_moving.png,Images_Shadows/Scene0066_View03_crop47_target.png,8,0,0
Images_Shadows/Scene0041_View01_crop34_moving.png,Images_Shadows/Scene0041_View01_crop34_target.png,8,0,0
Images_Shadows/Scene0080_View02_crop10_moving.png,Images_Shadows/Scene0080_View02_crop10_target.png,8,0,0
Images_Shadows/Scene0055_View01_crop11_moving.png,Images_Shadows/Scene0055_View01_crop11_target.png,8,0,0
Images_Shadows/Scene0028_View03_crop15_moving.png,Images_Shadows/Scene0028_View03_crop15_target.png,8,0,0
Images_Shadows/Scene0044_View00_crop25_moving.png,Images_Shadows/Scene0044_View00_crop25_target.png,4,0,0
Images_Shadows/Scene0031_View04_crop6_moving.png,Images_Shadows/Scene0031_View04_crop6_target.png,8,0,0
Images_Shadows/Scene0013_View01_crop2_moving.png,Images_Shadows/Scene0013_View01_crop2_target.png,8,0,0
Images_Shadows/Scene0081_View02_crop10_moving.png,Images_Shadows/Scene0081_View02_crop10_target.png,8,0,0
Images_Shadows/Scene0070_View02_crop12_moving.png,Images_Shadows/Scene0070_View02_crop12_target.png,8,0,0
Images_Shadows/Scene0025_View02_crop36_moving.png,Images_Shadows/Scene0025_View02_crop36_target.png,8,0,0
Images_Shadows/Scene0013_View00_crop25_moving.png,Images_Shadows/Scene0013_View00_crop25_target.png,2,0,0
Images_Shadows/Scene0007_View00_crop8_moving.png,Images_Shadows/Scene0007_View00_crop8_target.png,8,0,0
Images_Shadows/Scene0011_View04_crop10_moving.png,Images_Shadows/Scene0011_View04_crop10_target.png,8,0,0
Images_Shadows/Scene0004_View04_crop24_moving.png,Images_Shadows/Scene0004_View04_crop24_target.png,8,0,0
